Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
1989,Johnny Handsome,14.266,184,Average_Performer,Drama
2013,Grand Piano,14.263,412,Average_Performer,Thriller
2013,Grand Piano,14.263,412,Average_Performer,Mystery
2008,Dorothy Mills,14.261,190,Average_Performer,Drama
2008,Dorothy Mills,14.261,190,Average_Performer,Thriller
2008,Dorothy Mills,14.261,190,Average_Performer,Mystery
2008,Dorothy Mills,14.261,190,Average_Performer,Horror
1946,Song of the South,14.261,207,Average_Performer,Family
1946,Song of the South,14.261,207,Average_Performer,Music
2007,Disney Princess Enchanted Tales: Follow Your Dreams,14.26,82,Average_Performer,Animation
2007,Disney Princess Enchanted Tales: Follow Your Dreams,14.26,82,Average_Performer,Family
2007,Disney Princess Enchanted Tales: Follow Your Dreams,14.26,82,Average_Performer,Fantasy
1991,Roujin Z,14.258,66,Average_Performer,Animation
1991,Roujin Z,14.258,66,Average_Performer,Drama
1991,Roujin Z,14.258,66,Average_Performer,Science Fiction
2013,Age of Dinosaurs,14.256,69,Low_Rated,Action
2013,Age of Dinosaurs,14.256,69,Low_Rated,Science Fiction
1993,Raped by an Angel,14.255,13,Low_Rated,Thriller
1993,Raped by an Angel,14.255,13,Low_Rated,Crime
1978,Force 10 From Navarone,14.255,214,Average_Performer,Drama
1978,Force 10 From Navarone,14.255,214,Average_Performer,Adventure
1978,Force 10 From Navarone,14.255,214,Average_Performer,War
2017,Fullmetal Alchemist,14.254,423,Low_Rated,Action
2017,Fullmetal Alchemist,14.254,423,Low_Rated,Fantasy
2017,Fullmetal Alchemist,14.254,423,Low_Rated,Science Fiction
2016,Tom and Jerry: Back to Oz,14.254,35,Low_Rated,Family
2016,Tom and Jerry: Back to Oz,14.254,35,Low_Rated,Animation
2016,Tom and Jerry: Back to Oz,14.254,35,Low_Rated,Fantasy
2016,Tom and Jerry: Back to Oz,14.254,35,Low_Rated,Comedy
2016,Joseph and Mary,14.253,6,Low_Rated,Drama
1999,Candyman: Day of the Dead,14.253,156,Low_Rated,Horror
1999,Candyman: Day of the Dead,14.253,156,Low_Rated,Thriller
1964,Onibaba,14.253,255,Blockbuster,Horror
